,Outstanding_Debt,Annual_Income,Monthly_Inhand_Salary,Credit_History_Age,Interest_Rate,Monthly_Balance,Delay_from_due_date,Total_EMI_per_month,Changed_Credit_Limit,Num_of_Loan,Credit_Score
0,809.98,19114.12,1824.8433333333328,268.0,3.0,223.45130972736783,5.0,49.57494921489417,6.27,4.0,Good
1,809.98,19114.12,1824.8433333333328,269.0,3.0,341.48923103222177,6.0,49.57494921489417,11.27,4.0,Good
2,809.98,19114.12,1824.8433333333328,270.0,3.0,340.4792117872438,8.0,49.57494921489417,9.27,4.0,Good
3,1704.18,34081.38,2611.115,176.0,15.0,298.19215813115227,30.0,70.47833267207261,17.13,3.0,Poor
4,1704.18,34081.38,2611.115,176.0,15.0,392.19618457022375,30.0,70.47833267207261,17.13,3.0,Poor
5,1704.18,34081.38,2611.115,177.0,15.0,260.9124018324295,31.0,70.47833267207261,17.13,3.0,Poor
6,1704.18,34081.38,2611.115,178.0,15.0,260.0809753987602,34.0,70.47833267207261,21.13,3.0,Poor
7,1704.18,34081.38,2611.115,179.0,15.0,397.2283547370202,27.0,70.47833267207261,17.13,3.0,Standard
8,1704.18,34081.38,2611.115,180.0,15.0,410.6743660782873,30.0,70.47833267207261,18.13,3.0,Standard
9,1704.18,34081.38,2611.115,181.0,15.0,395.1733866886684,30.0,70.47833267207261,17.13,3.0,Standard
10,1704.18,34081.38,2611.115,182.0,15.0,411.3068036170128,30.0,70.47833267207261,17.13,3.0,Poor
11,1328.93,33751.27,2948.605833333333,230.0,20.0,362.5457119402324,16.0,65.00817428651536,11.0,3.0,Standard
12,1328.93,33751.27,2948.605833333333,231.0,20.0,399.7213311259382,16.0,65.00817428651536,11.0,3.0,Standard
13,1328.93,33751.27,2948.605833333333,232.0,20.0,229.6698268253028,16.0,65.00817428651536,11.0,3.0,Standard
14,1328.93,33751.27,2948.605833333333,234.0,20.0,276.5227242515123,16.0,65.00817428651536,8.0,3.0,Standard
15,1328.93,33751.27,2948.605833333333,235.0,20.0,406.9923272339233,16.0,65.00817428651536,11.0,3.0,Standard
